ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/12/2025;COBERTURA;IMPORTE AFILIADO;AHORRO TOTAL;RANGO DE COBERTURA
54965;amoxicilina+clavul�nico,�c.;ELGYMOX CLAV;1 g comp.rec.x 14;Sidus;$ 17.408,43;60%;$ 6.963,37;$ 10.445,06;MEDIA
55808;carbomer 974 p;LUBROL GEL;gel oft.x 10 g;Sidus;$ 12.757,94;50%;$ 6.378,97;$ 6.378,97;MEDIA
50085;carboximetilcelulosa s�d.+asoc.;LUBROL;sol.oft.x 15 ml;Sidus;$ 21.081,85;50%;$ 10.540,93;$ 10.540,92;MEDIA
35232;carvedilol;DUOBLOC;12.5 mg comp.x 28;Sidus;$ 5.284,86;60%;$ 2.113,94;$ 3.170,92;MEDIA
35233;carvedilol;DUOBLOC;25 mg comp.x 28;Sidus;$ 6.328,29;60%;$ 2.531,32;$ 3.796,97;MEDIA
35231;carvedilol;DUOBLOC;6.25 mg comp.x 28;Sidus;$ 4.259,58;60%;$ 1.703,83;$ 2.555,75;MEDIA
35313;ciprofloxacina+dexametasona;DECADRON CON CIPROFLOXACINA;susp.oft.x 5 ml;Sidus;$ 13.906,70;60%;$ 5.562,68;$ 8.344,02;MEDIA
50394;claritromicina;CLASID;125 mg pvo.p/prep.x 60ml;Sidus;$ 1.018,45;50%;$ 509,23;$ 509,22;MEDIA
50395;claritromicina;CLASID;250 mg pvo.p/prep.x 60ml;Sidus;$ 2.049,61;50%;$ 1.024,81;$ 1.024,80;MEDIA
50392;claritromicina;CLASID;500 mg comp.rec.x 16;Sidus;$ 2.297,92;50%;$ 1.148,96;$ 1.148,96;MEDIA
50393;claritromicina;CLASID;500 mg comp.rec.x 8;Sidus;$ 1.366,47;50%;$ 683,24;$ 683,23;MEDIA
46248;clopidogrel;PLATACA;75 mg comp.rec.x 30;Sidus;$ 1.027,81;50%;$ 513,91;$ 513,90;MEDIA
173;dexametasona+neomicina;DECADRON CON NEOMICINA;0.1% fco.got.x 5 ml;Sidus;$ 11.497,93;50%;$ 5.748,97;$ 5.748,96;MEDIA
28713;diazepam;DIACTAL ENEMA;pomo aplic.x 1 x 2.5 ml;Sidus;$ 17.328,71;50%;$ 8.664,36;$ 8.664,35;MEDIA
28714;diazepam;DIACTAL ENEMA;pomo aplic.x 5 x 2.5 ml;Sidus;$ 65.203,04;50%;$ 32.601,52;$ 32.601,52;MEDIA
8417;dihidroestreptomicina+asoc.;VAGISAN;�v.x 12;Sidus;$ 12.665,96;50%;$ 6.332,98;$ 6.332,98;MEDIA
8418;dihidroestreptomicina+asoc.;VAGISAN COMPUESTO;�v.x 7;Sidus;$ 16.688,72;50%;$ 8.344,36;$ 8.344,36;MEDIA
21232;domperidona+bromazepam+simetic.;FARADIL NOVO;comp.x 50;Sidus;$ 32.500,00;40%;$ 19.500,00;$ 13.000,00;BAJA
45654;dorzolamida+timolol;DORZOFLAX;gts.oft.x 5 ml;Sidus;$ 32.831,22;60%;$ 13.132,49;$ 19.698,73;MEDIA
