ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/12/2025;COBERTURA;IMPORTE AFILIADO;AHORRO TOTAL;RANGO DE COBERTURA
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 35.195,82;40%;$ 21.117,49;$ 14.078,33;BAJA
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 48.849,28;40%;$ 29.309,57;$ 19.539,71;BAJA
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 31.222,28;40%;$ 18.733,37;$ 12.488,91;BAJA
21735;candesart�n cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 58.156,58;60%;$ 23.262,63;$ 34.893,95;MEDIA
21733;candesart�n cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 38.776,85;60%;$ 15.510,74;$ 23.266,11;MEDIA
29638;candesart�n+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 52.340,30;60%;$ 20.936,12;$ 31.404,18;MEDIA
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1.258,68;60%;$ 503,47;$ 755,21;MEDIA
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 32.248,82;60%;$ 12.899,53;$ 19.349,29;MEDIA
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 19.538,39;60%;$ 7.815,36;$ 11.723,03;MEDIA
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1.198,74;60%;$ 479,50;$ 719,24;MEDIA
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 11.784,83;60%;$ 4.713,93;$ 7.070,90;MEDIA
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 18.854,40;60%;$ 7.541,76;$ 11.312,64;MEDIA
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5.734,16;60%;$ 2.293,66;$ 3.440,50;MEDIA
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575,14;50%;$ 287,57;$ 287,57;MEDIA
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882,93;50%;$ 441,47;$ 441,46;MEDIA
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 9.210,37;50%;$ 4.605,19;$ 4.605,18;MEDIA
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 9.210,37;50%;$ 4.605,19;$ 4.605,18;MEDIA
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 16.949,76;60%;$ 6.779,90;$ 10.169,86;MEDIA
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 33.383,72;60%;$ 13.353,49;$ 20.030,23;MEDIA
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 54.115,62;60%;$ 21.646,25;$ 32.469,37;MEDIA
37388;enzimas digestivas;CREON 25000;c�ps.x 100;Abbott EPD;$ 172.583,49;50%;$ 86.291,75;$ 86.291,74;MEDIA
24710;enzimas digestivas;CREON 10000;c�ps.x 100;Abbott EPD;$ 104.046,77;50%;$ 52.023,39;$ 52.023,38;MEDIA
24709;enzimas digestivas;CREON 10000;c�ps.x 50;Abbott EPD;$ 57.531,23;50%;$ 28.765,62;$ 28.765,61;MEDIA
37387;enzimas digestivas;CREON 25000;c�ps.x 50;Abbott EPD;$ 95.771,84;50%;$ 47.885,92;$ 47.885,92;MEDIA
45275;fenofibrato;CONTROLIP;160 mg c�ps.x 30;Abbott EPD;$ 39.260,96;60%;$ 15.704,38;$ 23.556,58;MEDIA
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 40.915,90;50%;$ 20.457,95;$ 20.457,95;MEDIA
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489,56;50%;$ 244,78;$ 244,78;MEDIA
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 28.269,38;50%;$ 14.134,69;$ 14.134,69;MEDIA
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 54.704,90;50%;$ 27.352,45;$ 27.352,45;MEDIA
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 14.726,85;60%;$ 5.890,74;$ 8.836,11;MEDIA
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 31.979,66;60%;$ 12.791,86;$ 19.187,80;MEDIA
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 27.641,26;60%;$ 11.056,50;$ 16.584,76;MEDIA
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 59.740,77;60%;$ 23.896,31;$ 35.844,46;MEDIA
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 20.685,70;80%;$ 4.137,14;$ 16.548,56;ALTA
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg c�ps.x 100;Abbott EPD;$ 60.029,63;80%;$ 12.005,93;$ 48.023,70;ALTA
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg c�ps.x 50;Abbott EPD;$ 31.347,31;80%;$ 6.269,46;$ 25.077,85;ALTA
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 41.890,07;80%;$ 8.378,01;$ 33.512,06;ALTA
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 34.806,62;80%;$ 6.961,32;$ 27.845,30;ALTA
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 73.880,45;80%;$ 14.776,09;$ 59.104,36;ALTA
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 61.382,23;80%;$ 12.276,45;$ 49.105,78;ALTA
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8.485,24;80%;$ 1.697,05;$ 6.788,19;ALTA
19;valproico,�c.;DEPAKENE;c�ps.x 50;Abbott EPD;$ 20.116,11;80%;$ 4.023,22;$ 16.092,89;ALTA
21;valproico,�c.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 11.156,19;80%;$ 2.231,24;$ 8.924,95;ALTA
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 19.984,38;60%;$ 7.993,75;$ 11.990,63;MEDIA
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 46.118,58;60%;$ 18.447,43;$ 27.671,15;MEDIA
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 13.521,34;60%;$ 5.408,54;$ 8.112,80;MEDIA
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;$ 38.714,71;50%;$ 19.357,36;$ 19.357,35;MEDIA
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;$ 34.276,32;50%;$ 17.138,16;$ 17.138,16;MEDIA
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;$ 37.912,08;50%;$ 18.956,04;$ 18.956,04;MEDIA
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;$ 39.221,84;50%;$ 19.610,92;$ 19.610,92;MEDIA
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;$ 31.122,84;60%;$ 12.449,14;$ 18.673,70;MEDIA
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;$ 26.690,22;60%;$ 10.676,09;$ 16.014,13;MEDIA
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;$ 34.130,25;50%;$ 17.065,13;$ 17.065,12;MEDIA
51569;carboximetilcelulosa s�d.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5.084,83;50%;$ 2.542,42;$ 2.542,41;MEDIA
56822;carboximetilcelulosa s�d.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 23.116,56;50%;$ 11.558,28;$ 11.558,28;MEDIA
51599;carboximetilcelulosa s�d.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5.223,66;50%;$ 2.611,83;$ 2.611,83;MEDIA
37918;carboximetilcelulosa s�dica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 15.750,89;50%;$ 7.875,45;$ 7.875,44;MEDIA
23975;carboximetilcelulosa s�dica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 22.503,72;50%;$ 11.251,86;$ 11.251,86;MEDIA
32902;carboximetilcelulosa s�dica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 21.479,55;50%;$ 10.739,78;$ 10.739,77;MEDIA
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 46.616,47;60%;$ 18.646,59;$ 27.969,88;MEDIA
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 20.534,19;50%;$ 10.267,10;$ 10.267,09;MEDIA
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 13.642,70;50%;$ 6.821,35;$ 6.821,35;MEDIA
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2.199,19;50%;$ 1.099,60;$ 1.099,59;MEDIA
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 29.692,30;80%;$ 5.938,46;$ 23.753,84;ALTA
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 36.446,98;80%;$ 7.289,40;$ 29.157,58;ALTA
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 45.463,38;50%;$ 22.731,69;$ 22.731,69;MEDIA
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 18.270,35;50%;$ 9.135,18;$ 9.135,17;MEDIA
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 24.007,72;50%;$ 12.003,86;$ 12.003,86;MEDIA
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 15.581,30;50%;$ 7.790,65;$ 7.790,65;MEDIA
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 18.694,58;50%;$ 9.347,29;$ 9.347,29;MEDIA
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1.118,20;50%;$ 559,10;$ 559,10;MEDIA
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537,19;60%;$ 214,88;$ 322,31;MEDIA
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1.674,46;60%;$ 669,78;$ 1.004,68;MEDIA
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2.359,35;80%;$ 471,87;$ 1.887,48;ALTA
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 31.230,53;80%;$ 6.246,11;$ 24.984,42;ALTA
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468,44;60%;$ 187,38;$ 281,06;MEDIA
11964;aceite de salm�n;REGULIP;1 g c�ps.x 60;Adium;$ 59.180,58;40%;$ 35.508,35;$ 23.672,23;BAJA
34244;aceite de salm�n;REGULIP;1 g c�ps.x 90;Adium;$ 86.160,76;40%;$ 51.696,46;$ 34.464,30;BAJA
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 26.523,95;50%;$ 13.261,98;$ 13.261,97;MEDIA
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 38.908,13;50%;$ 19.454,07;$ 19.454,06;MEDIA
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 47.397,02;50%;$ 23.698,51;$ 23.698,51;MEDIA
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 24.040,62;50%;$ 12.020,31;$ 12.020,31;MEDIA
22369;atorvastat�n;LIPIFEN;10 mg comp.x 30;Adium;$ 34.329,94;80%;$ 6.865,99;$ 27.463,95;ALTA
22370;atorvastat�n;LIPIFEN;20 mg comp.x 30;Adium;$ 56.895,16;80%;$ 11.379,03;$ 45.516,13;ALTA
50267;atorvastat�n;LIPIFEN;40 mg comp.x 30;Adium;$ 66.493,58;80%;$ 13.298,72;$ 53.194,86;ALTA
40014;atorvastat�n+ezetimibe;COLMIBE;10/10 mg comp.x 30;Adium;$ 38.132,24;50%;$ 19.066,12;$ 19.066,12;MEDIA
40015;atorvastat�n+ezetimibe;COLMIBE;20/10 mg comp.x 30;Adium;$ 53.523,34;50%;$ 26.761,67;$ 26.761,67;MEDIA
50193;atorvastat�n+ezetimibe;COLMIBE;40/10 mg comp.x 30;Adium;$ 66.385,40;50%;$ 33.192,70;$ 33.192,70;MEDIA
61001;buprenorfina;BUPRIVA;10 mg parche x 1;Adium;$ 41.568,30;50%;$ 20.784,15;$ 20.784,15;MEDIA
61002;buprenorfina;BUPRIVA;20 mg parche x 1;Adium;$ 50.445,98;50%;$ 25.222,99;$ 25.222,99;MEDIA
61000;buprenorfina;BUPRIVA;5 mg parche x 1;Adium;$ 32.084,10;50%;$ 16.042,05;$ 16.042,05;MEDIA
23483;bupropi�n;ODRANAL;150mg comp.lib.prol.x 30;Adium;$ 71.065,82;40%;$ 42.639,49;$ 28.426,33;BAJA
26876;bupropi�n;ODRANAL;150mg comp.lib.prol.x 60;Adium;$ 129.015,92;40%;$ 77.409,55;$ 51.606,37;BAJA
51689;ciclobenzaprina;MITRUL;15 mg c�ps.x 10;Adium;$ 26.274,75;50%;$ 13.137,38;$ 13.137,37;MEDIA
24913;clindamicina;TORGYN;100 mg ov.vag.x 7;Adium;$ 15.932,70;60%;$ 6.373,08;$ 9.559,62;MEDIA
30481;clindamicina;TORGYN;100 mg �v.vag.x 3;Adium;$ 11.709,81;60%;$ 4.683,92;$ 7.025,89;MEDIA
35664;clindamicina+ketoconazol;TORGYN DUO;c�ps.blandas vag.x 7;Adium;$ 20.469,66;50%;$ 10.234,83;$ 10.234,83;MEDIA
33881;clopidogrel;NABRATIN;75 mg comp.rec.x 30;Adium;$ 62.227,52;50%;$ 31.113,76;$ 31.113,76;MEDIA
46775;condroit�n,sulfato+glucosamina;ASOTREX;c�ps.x 30;Adium;$ 72.573,49;40%;$ 43.544,09;$ 29.029,40;BAJA
46776;condroit�n,sulfato+glucosamina;ASOTREX;c�ps.x 60;Adium;$ 110.984,24;40%;$ 66.590,54;$ 44.393,70;BAJA
46779;condroit�n,sulfato+glucosamina;ASOTREX;sob.x 30;Adium;$ 141.112,24;40%;$ 84.667,34;$ 56.444,90;BAJA
60620;dapagliflozina;FANTER;10 mg comp. x 30;Adium;$ 67.331,29;100%;$ 0,00;$ 67.331,29;ALTA
47882;desvenlafaxina;FAPRIS;100mg comp.rec.lib.prx30;Adium;$ 56.159,94;50%;$ 28.079,97;$ 28.079,97;MEDIA
47881;desvenlafaxina;FAPRIS;50mg comp.rec.lib.pr.x30;Adium;$ 30.602,45;50%;$ 15.301,23;$ 15.301,22;MEDIA
50098;dexlansoprazol;APATRIX 30;c�ps. x 30;Adium;$ 37.470,09;40%;$ 22.482,05;$ 14.988,04;BAJA
50100;dexlansoprazol;APATRIX 60;c�ps. x 30;Adium;$ 53.306,57;40%;$ 31.983,94;$ 21.322,63;BAJA
22035;diclofenac pot�sico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 15;Adium;$ 21.386,07;40%;$ 12.831,64;$ 8.554,43;BAJA
22036;diclofenac pot�sico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 30;Adium;$ 45.255,31;40%;$ 27.153,19;$ 18.102,12;BAJA
52261;dutasteride+tamsulosina;REDUPROST DUO;c�ps.duras x 30;Adium;$ 60.746,37;50%;$ 30.373,19;$ 30.373,18;MEDIA
53870;etoricoxib;XUMER;120 mg comp.rec.x 7;Adium;$ 16.042,71;50%;$ 8.021,36;$ 8.021,35;MEDIA
53866;etoricoxib;XUMER;60 mg comp.rec.x 14;Adium;$ 16.354,21;50%;$ 8.177,11;$ 8.177,10;MEDIA
53867;etoricoxib;XUMER;60 mg comp.rec.x 28;Adium;$ 33.132,89;50%;$ 16.566,45;$ 16.566,44;MEDIA
53868;etoricoxib;XUMER;90 mg comp.rec.x 14;Adium;$ 27.126,69;50%;$ 13.563,35;$ 13.563,34;MEDIA
53869;etoricoxib;XUMER;90 mg comp.rec.x 28;Adium;$ 41.044,53;50%;$ 20.522,27;$ 20.522,26;MEDIA
37344;ezetimibe+simvastatin;REDUSTEROL DUO;10/10 mg comp.x 30;Adium;$ 23.725,34;50%;$ 11.862,67;$ 11.862,67;MEDIA
37345;ezetimibe+simvastatin;REDUSTEROL DUO;10/20 mg comp.x 30;Adium;$ 23.725,34;50%;$ 11.862,67;$ 11.862,67;MEDIA
37346;ezetimibe+simvastatin;REDUSTEROL DUO;10/40 mg comp.x 30;Adium;$ 38.092,71;50%;$ 19.046,36;$ 19.046,35;MEDIA
10665;fluconazol;MUTUM;100 mg comp.x 15;Adium;$ 88.670,46;50%;$ 44.335,23;$ 44.335,23;MEDIA
16364;fluconazol;MUTUM;150 mg comp.x 1;Adium;$ 8.126,41;50%;$ 4.063,21;$ 4.063,20;MEDIA
16365;fluconazol;MUTUM;150 mg comp.x 2;Adium;$ 15.900,21;50%;$ 7.950,11;$ 7.950,10;MEDIA
23526;fluconazol;MUTUM;150 mg comp.x 4;Adium;$ 28.040,04;50%;$ 14.020,02;$ 14.020,02;MEDIA
43799;fluconazol;MUTUM;150 mg comp.x 8;Adium;$ 48.783,93;50%;$ 24.391,97;$ 24.391,96;MEDIA
11746;fluconazol;MUTUM;200 mg comp.x 10;Adium;$ 99.949,39;50%;$ 49.974,70;$ 49.974,69;MEDIA
11963;fluconazol;MUTUM;200 mg comp.x 30;Adium;$ 254.979,17;50%;$ 127.489,59;$ 127.489,58;MEDIA
32631;gabapentin;ULTRANEURAL;100 mg comp.x 30;Adium;$ 17.172,23;60%;$ 6.868,89;$ 10.303,34;MEDIA
32630;gabapentin;ULTRANEURAL;300 mg comp.x 30;Adium;$ 31.134,39;60%;$ 12.453,76;$ 18.680,63;MEDIA
34457;gabapentin;ULTRANEURAL;300 mg comp.x 60;Adium;$ 55.622,05;60%;$ 22.248,82;$ 33.373,23;MEDIA
32633;gabapentin;ULTRANEURAL;600 mg comp.x 30;Adium;$ 39.209,04;60%;$ 15.683,62;$ 23.525,42;MEDIA
11671;glibenclamida;GARDOTON;comp.x 30;Adium;$ 4.499,60;100%;$ 0,00;$ 4.499,60;ALTA
11672;glibenclamida;GARDOTON;comp.x 60;Adium;$ 8.924,99;100%;$ 0,00;$ 8.924,99;ALTA
56914;glucosamina;ASOTREX GL;sob.x 15;Adium;$ 20.090,28;40%;$ 12.054,17;$ 8.036,11;BAJA
56916;glucosamina;ASOTREX GL;sob.x 30;Adium;$ 51.048,23;40%;$ 30.628,94;$ 20.419,29;BAJA
38252;ibandr�nico,�c.;IDENA;150 mg comp.rec.x 1;Adium;$ 37.620,97;50%;$ 18.810,49;$ 18.810,48;MEDIA
40004;ibandr�nico,�c.;IDENA;150 mg comp.rec.x 2;Adium;$ 60.300,85;50%;$ 30.150,43;$ 30.150,42;MEDIA
59724;insaponificables;CLEDIUM;c�ps. x 30;Adium;$ 36.256,48;40%;$ 21.753,89;$ 14.502,59;BAJA
8268;isoxsuprina;DUVADILAN;10 mg comp.x 20;Adium;$ 21.652,28;50%;$ 10.826,14;$ 10.826,14;MEDIA
46447;lacosamida;LACOTEM;100 mg comp.rec.x 30;Adium;$ 95.135,86;50%;$ 47.567,93;$ 47.567,93;MEDIA
47376;lacosamida;LACOTEM;150 mg comp.rec.x 30;Adium;$ 128.623,63;50%;$ 64.311,82;$ 64.311,81;MEDIA
47377;lacosamida;LACOTEM;200 mg comp.rec.x 30;Adium;$ 171.497,65;50%;$ 85.748,83;$ 85.748,82;MEDIA
46446;lacosamida;LACOTEM;50 mg comp.rec.x 30;Adium;$ 44.841,54;50%;$ 22.420,77;$ 22.420,77;MEDIA
48499;levetiracetam;LEVAXON;1000 mg comp.x 30;Adium;$ 143.196,94;50%;$ 71.598,47;$ 71.598,47;MEDIA
48497;levetiracetam;LEVAXON;500 mg comp.x 20;Adium;$ 48.423,44;50%;$ 24.211,72;$ 24.211,72;MEDIA
48498;levetiracetam;LEVAXON;500 mg comp.x 60;Adium;$ 137.046,59;50%;$ 68.523,30;$ 68.523,29;MEDIA
42077;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 14;Adium;$ 26.111,41;60%;$ 10.444,56;$ 15.666,85;MEDIA
33882;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 7;Adium;$ 16.398,01;60%;$ 6.559,20;$ 9.838,81;MEDIA
38087;levofloxacina;UNIFLOX 750;750 mg comp.rec.x 5;Adium;$ 18.817,56;60%;$ 7.527,02;$ 11.290,54;MEDIA
8288;levonorgestrel+etinilestradiol;MICROGYNON;blist.grag.x 21;Adium;$ 7.344,67;50%;$ 3.672,34;$ 3.672,33;MEDIA
8317;levonorgestrel+etinilestradiol;TRIQUILAR;blist.grag.x 21;Adium;$ 7.956,74;50%;$ 3.978,37;$ 3.978,37;MEDIA
13698;levonorgestrel+etinilestradiol;MICROVLAR;grag.x 21;Adium;$ 5.172,20;50%;$ 2.586,10;$ 2.586,10;MEDIA
18517;meloxicam;FLEXIDOL;15 mg comp.ran.x 10;Adium;$ 11.668,73;40%;$ 7.001,24;$ 4.667,49;BAJA
20354;meloxicam;FLEXIDOL;15 mg comp.ran.x 20;Adium;$ 22.919,92;40%;$ 13.751,95;$ 9.167,97;BAJA
18518;meloxicam;FLEXIDOL;15 mg comp.ran.x 30;Adium;$ 33.310,96;40%;$ 19.986,58;$ 13.324,38;BAJA
53871;meloxicam;FLEXIDOL CB;15 mg c�ps.blandas x 10;Adium;$ 12.509,86;40%;$ 7.505,92;$ 5.003,94;BAJA
53872;meloxicam;FLEXIDOL CB;15 mg c�ps.blandas x 20;Adium;$ 24.471,61;40%;$ 14.682,97;$ 9.788,64;BAJA
38085;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 10;Adium;$ 13.142,83;40%;$ 7.885,70;$ 5.257,13;BAJA
38086;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 20;Adium;$ 25.779,56;40%;$ 15.467,74;$ 10.311,82;BAJA
29028;mirtazapina;COMENTER;30 mg comp.x 30;Adium;$ 38.316,14;50%;$ 19.158,07;$ 19.158,07;MEDIA
45009;nebivolol;NABILA;10 mg comp.x 28;Adium;$ 35.266,97;50%;$ 17.633,49;$ 17.633,48;MEDIA
45008;nebivolol;NABILA;2.5 mg comp.x 28;Adium;$ 8.202,84;50%;$ 4.101,42;$ 4.101,42;MEDIA
42275;nebivolol;NABILA;5 mg comp.x 28;Adium;$ 18.163,90;50%;$ 9.081,95;$ 9.081,95;MEDIA
59378;nebivolol+hidroclorotiazida;NABILA D;5/12.5 mg comp.rec.x 28;Adium;$ 20.340,69;50%;$ 10.170,35;$ 10.170,34;MEDIA
17442;nimodipina;NIVAS;30 mg comp.rec.x 30;Adium;$ 11.329,46;50%;$ 5.664,73;$ 5.664,73;MEDIA
17443;nimodipina;NIVAS;30 mg comp.rec.x 60;Adium;$ 18.842,94;50%;$ 9.421,47;$ 9.421,47;MEDIA
12529;nimodipina;NIVAS FORTE;60 mg comp.rec.x 30;Adium;$ 18.486,36;50%;$ 9.243,18;$ 9.243,18;MEDIA
12530;nimodipina;NIVAS FORTE;60 mg comp.rec.x 60;Adium;$ 30.917,22;50%;$ 15.458,61;$ 15.458,61;MEDIA
21021;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 30;Adium;$ 23.921,24;50%;$ 11.960,62;$ 11.960,62;MEDIA
21022;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 60;Adium;$ 42.539,42;50%;$ 21.269,71;$ 21.269,71;MEDIA
51317;noretisterona;PRIMOLUT NOR;10 mg bl�st.comp.x 20;Adium;$ 26.451,22;50%;$ 13.225,61;$ 13.225,61;MEDIA
8305;noretisterona+etinilestradiol;PRIMOSISTON;comp.x 30;Adium;$ 10.415,65;50%;$ 5.207,83;$ 5.207,82;MEDIA
11665;oxibutinina;DELAK;comp.x 20;Adium;$ 11.651,98;50%;$ 5.825,99;$ 5.825,99;MEDIA
23094;oxibutinina;DELAK;comp.x 30;Adium;$ 16.288,04;50%;$ 8.144,02;$ 8.144,02;MEDIA
23095;oxibutinina;DELAK;comp.x 60;Adium;$ 31.302,02;50%;$ 15.651,01;$ 15.651,01;MEDIA
9360;pancreatina+dimetilpolisiloxano;PANKREOFLAT AD;comp.rec.x 50;Adium;$ 19.393,60;50%;$ 9.696,80;$ 9.696,80;MEDIA
23256;pantoprazol;PANTOP;IV iny.x 1;Adium;$ 794,82;40%;$ 476,89;$ 317,93;BAJA
31760;paracetamol;PARACETAMOL RAFFO 1 G;comp.ran.x 10;Adium;$ 6.558,28;40%;$ 3.934,97;$ 2.623,31;BAJA
49154;pregabalina;PREBICTAL;100 mg c�ps.x 28;Adium;$ 55.624,63;50%;$ 27.812,32;$ 27.812,31;MEDIA
44478;pregabalina;PREBICTAL;150 mg c�ps.x 28;Adium;$ 59.251,82;50%;$ 29.625,91;$ 29.625,91;MEDIA
51662;pregabalina;PREBICTAL;25 mg c�ps.x 28;Adium;$ 13.244,77;50%;$ 6.622,39;$ 6.622,38;MEDIA
49153;pregabalina;PREBICTAL;50 mg c�ps.x 28;Adium;$ 31.789,87;50%;$ 15.894,94;$ 15.894,93;MEDIA
44477;pregabalina;PREBICTAL;75 mg c�ps.x 28;Adium;$ 37.497,85;50%;$ 18.748,93;$ 18.748,92;MEDIA
37351;quetiapina;QUETIAZIC;100 mg comp.x 30;Adium;$ 84.638,86;50%;$ 42.319,43;$ 42.319,43;MEDIA
45449;quetiapina;QUETIAZIC;100 mg comp.x 60;Adium;$ 134.018,95;50%;$ 67.009,48;$ 67.009,47;MEDIA
37352;quetiapina;QUETIAZIC;200 mg comp.x 30;Adium;$ 110.522,87;50%;$ 55.261,44;$ 55.261,43;MEDIA
45452;quetiapina;QUETIAZIC;200 mg comp.x 60;Adium;$ 178.852,94;50%;$ 89.426,47;$ 89.426,47;MEDIA
48928;quetiapina;QUETIAZIC XR;200mg comp.acc.prol.x 30;Adium;$ 110.013,40;50%;$ 55.006,70;$ 55.006,70;MEDIA
37804;quetiapina;QUETIAZIC;25 mg comp.x 30;Adium;$ 52.331,40;50%;$ 26.165,70;$ 26.165,70;MEDIA
45448;quetiapina;QUETIAZIC;25 mg comp.x 60;Adium;$ 80.531,10;50%;$ 40.265,55;$ 40.265,55;MEDIA
46321;quetiapina;QUETIAZIC;300 mg comp.x 30;Adium;$ 124.133,52;50%;$ 62.066,76;$ 62.066,76;MEDIA
48929;quetiapina;QUETIAZIC XR;300mg comp.acc.prol.x 30;Adium;$ 148.133,45;50%;$ 74.066,73;$ 74.066,72;MEDIA
